INFO 2025-10-11 15:38:42,365 encryption 8640 23980 Par de claves RSA generado exitosamente
INFO 2025-10-11 15:38:42,369 basehttp 8640 23980 "GET /encryption-demo/ HTTP/1.1" 200 28925
INFO 2025-10-11 15:39:30,792 encryption 8640 23980 CIFRADO HÍBRIDO: Iniciando cifrado de 16 caracteres
INFO 2025-10-11 15:39:30,793 encryption 8640 23980 CIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:39:30,794 views_encryption_demo 8640 23980 Usuario cliente1 cifró texto de 16 caracteres
INFO 2025-10-11 15:39:30,794 basehttp 8640 23980 "POST /encrypt-demo-text/ HTTP/1.1" 200 999
INFO 2025-10-11 15:40:47,951 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:40:47,953 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:40:47,953 views_encryption_demo 8640 23980 Usuario cliente1 descifró texto exitosamente
INFO 2025-10-11 15:40:47,953 basehttp 8640 23980 "POST /decrypt-demo-text/ HTTP/1.1" 200 397
INFO 2025-10-11 15:40:53,363 basehttp 8640 23980 "GET /encryption-demo/ HTTP/1.1" 200 28925
INFO 2025-10-11 15:41:06,481 encryption 8640 23980 CIFRADO HÍBRIDO: Iniciando cifrado de 16 caracteres
INFO 2025-10-11 15:41:06,482 encryption 8640 23980 CIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:41:06,482 views_encryption_demo 8640 23980 Usuario cliente1 cifró texto de 16 caracteres
INFO 2025-10-11 15:41:06,483 basehttp 8640 23980 "POST /encrypt-demo-text/ HTTP/1.1" 200 998
INFO 2025-10-11 15:41:24,674 encryption 8640 23980 CIFRADO HÍBRIDO: Iniciando cifrado de 344 caracteres
INFO 2025-10-11 15:41:24,674 encryption 8640 23980 CIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:41:24,674 views_encryption_demo 8640 23980 Usuario cliente1 cifró texto de 344 caracteres
INFO 2025-10-11 15:41:24,675 basehttp 8640 23980 "POST /encrypt-demo-text/ HTTP/1.1" 200 1758
INFO 2025-10-11 15:41:45,939 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23685
INFO 2025-10-11 15:41:58,596 encryption 8640 23980 CIFRADO HÍBRIDO: Iniciando cifrado de 10 caracteres
INFO 2025-10-11 15:41:58,597 encryption 8640 23980 CIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:41:58,602 views 8640 23980 Usuario cliente1 actualizó su perfil desde IP: 127.0.0.1
INFO 2025-10-11 15:41:58,602 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:41:58,603 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:41:58,603 views 8640 23980 Nuevos datos - Teléfono: 6561236040, Dirección: No address...
INFO 2025-10-11 15:41:58,604 basehttp 8640 23980 "POST /my-account/ HTTP/1.1" 302 0
INFO 2025-10-11 15:41:58,618 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:41:58,619 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:41:58,622 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23928
INFO 2025-10-11 15:42:01,925 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:01,926 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:01,929 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23704
INFO 2025-10-11 15:42:03,892 basehttp 8640 23980 "GET / HTTP/1.1" 200 35725
INFO 2025-10-11 15:42:14,000 basehttp 8640 23980 "GET /encryption-demo/ HTTP/1.1" 200 28925
INFO 2025-10-11 15:42:47,284 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:47,285 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:47,288 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23704
INFO 2025-10-11 15:42:52,807 encryption 8640 23980 CIFRADO HÍBRIDO: Iniciando cifrado de 10 caracteres
INFO 2025-10-11 15:42:52,808 encryption 8640 23980 CIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:52,808 encryption 8640 23980 CIFRADO HÍBRIDO: Iniciando cifrado de 40 caracteres
INFO 2025-10-11 15:42:52,808 encryption 8640 23980 CIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:52,813 views 8640 23980 Usuario cliente1 actualizó su perfil desde IP: 127.0.0.1
INFO 2025-10-11 15:42:52,813 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:52,814 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:52,814 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:52,815 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:52,815 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:52,816 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:52,816 views 8640 23980 Nuevos datos - Teléfono: 6561236040, Dirección: Viena residencial, Calle Mileto 1370-96....
INFO 2025-10-11 15:42:52,817 basehttp 8640 23980 "POST /my-account/ HTTP/1.1" 302 0
INFO 2025-10-11 15:42:52,828 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:52,829 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:52,830 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:52,830 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:52,833 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23968
INFO 2025-10-11 15:42:55,663 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:55,664 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:55,664 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:55,665 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:55,667 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23744
INFO 2025-10-11 15:42:59,289 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:59,290 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:59,290 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:42:59,291 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:42:59,293 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23744
INFO 2025-10-11 15:43:04,465 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:43:04,466 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:43:04,466 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:43:04,467 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:43:04,469 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23744
INFO 2025-10-11 15:43:05,942 basehttp 8640 23980 "GET /my-orders/ HTTP/1.1" 200 11774
INFO 2025-10-11 15:43:08,149 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
